"sample"	"instrument"	"run_date"	"file"	"labshare_path"
"67C2pos"	"FSN10115"	"2015-08-20 01:04:25Z"	"67C2pos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/67C2pos.raw"
"67N2pos"	"FSN10115"	"2015-08-20 00:47:53Z"	"67N2pos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/67N2pos.raw"
"68Cpos"	"FSN10352"	"2015-09-23 20:29:54Z"	"68Cpos-2212c63b.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 23 2015 runs/lc vs normal tissue samples/68Cpos.raw"
"68Cpos"	"FSN10115"	"2015-08-20 01:38:00Z"	"68Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/68Cpos.raw"
"68Npos"	"FSN10115"	"2015-08-20 01:21:43Z"	"68Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/68Npos.raw"
"69Cpos"	"FSN10115"	"2015-08-19 23:56:39Z"	"69Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/69Cpos.raw"
"69Npos"	"FSN10115"	"2015-08-19 23:39:43Z"	"69Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/69Npos.raw"
"6bCpos"	"FSN10352"	"2015-09-05 08:38:24Z"	"6bCpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/6bCpos.raw"
"6bNpos"	"FSN10352"	"2015-09-05 08:20:59Z"	"6bNpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/6bNpos.raw"
"70Cpos"	"FSN10115"	"2015-08-19 23:22:52Z"	"70Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/70Cpos.raw"
"70Npos"	"FSN10115"	"2015-08-19 23:06:54Z"	"70Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/70Npos.raw"
"72Cposb"	"FSN10115"	"2015-08-19 22:49:01Z"	"72Cposb.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/72Cposb.raw"
"72Npos"	"FSN10115"	"2015-08-18 21:11:00Z"	"72Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 18 2015 runs/lung cancer vs corresponding tissue positive mode runs/72Npos.raw"
"73Cpos"	"FSN10115"	"2015-08-18 22:02:22Z"	"73Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 18 2015 runs/lung cancer vs corresponding tissue positive mode runs/73Cpos.raw"
"73Npos"	"FSN10115"	"2015-08-18 21:45:01Z"	"73Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 18 2015 runs/lung cancer vs corresponding tissue positive mode runs/73Npos.raw"
"74Cpos"	"FSN10115"	"2015-08-18 22:52:33Z"	"74Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 18 2015 runs/lung cancer vs corresponding tissue positive mode runs/74Cpos.raw"
"74Npos"	"FSN10115"	"2015-08-18 22:18:43Z"	"74Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 18 2015 runs/lung cancer vs corresponding tissue positive mode runs/74Npos.raw"
"75Cpos"	"FSN10115"	"2015-08-18 23:26:50Z"	"75Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 18 2015 runs/lung cancer vs corresponding tissue positive mode runs/75Cpos.raw"
"75Npos"	"FSN10115"	"2015-08-18 23:09:41Z"	"75Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 18 2015 runs/lung cancer vs corresponding tissue positive mode runs/75Npos.raw"
"76Cpos"	"FSN10115"	"2015-08-19 00:17:43Z"	"76Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 18 2015 runs/lung cancer vs corresponding tissue positive mode runs/76Cpos.raw"
"76N1pos"	"FSN10115"	"2015-08-18 23:44:03Z"	"76N1pos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 18 2015 runs/lung cancer vs corresponding tissue positive mode runs/76N1pos.raw"
"77Cpos"	"FSN10115"	"2014-07-28 05:01:50Z"	"77Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/77Cpos.raw"
"77Npos"	"FSN10115"	"2014-07-28 04:28:08Z"	"77Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/77Npos.raw"
"78Cpos"	"FSN10115"	"2014-07-28 06:09:18Z"	"78Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/78Cpos.raw"
"78Npos"	"FSN10115"	"2014-07-28 05:35:40Z"	"78Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/78Npos.raw"
"79Cpos"	"FSN10115"	"2015-08-20 22:08:35Z"	"79Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/79Cpos.raw"
"79Npos"	"FSN10115"	"2015-08-20 21:52:43Z"	"79Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/79Npos.raw"
"7bCpos"	"FSN10352"	"2015-09-05 08:03:59Z"	"7bCpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/7bCpos.raw"
"7bNpos"	"FSN10352"	"2015-09-05 07:30:01Z"	"7bNpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/7bNpos.raw"
"80Cpos"	"FSN10115"	"2015-08-20 22:42:34Z"	"80Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/80Cpos.raw"
"80Npos"	"FSN10115"	"2015-08-20 22:25:59Z"	"80Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/80Npos.raw"
"81Cpos"	"FSN10115"	"2015-08-20 23:33:51Z"	"81Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/81Cpos.raw"
"81Npos"	"FSN10115"	"2015-08-20 23:16:05Z"	"81Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/81Npos.raw"
"82Cpos"	"FSN10115"	"2015-08-21 00:06:55Z"	"82Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/82Cpos.raw"
"82Npos"	"FSN10115"	"2015-08-20 23:50:47Z"	"82Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/82Npos.raw"
"83Cpos"	"FSN10115"	"2015-08-21 00:41:09Z"	"83Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/83Cpos.raw"
"83Npos"	"FSN10115"	"2015-08-21 00:23:36Z"	"83Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/83Npos.raw"
"85Cpos"	"FSN10115"	"2015-08-21 01:31:24Z"	"85Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/85Cpos.raw"
"85Npos"	"FSN10115"	"2015-08-21 01:15:21Z"	"85Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/85Npos.raw"
"87Cpos"	"FSN10115"	"2015-08-21 02:05:55Z"	"87Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/87Cpos.raw"
"87Npos"	"FSN10115"	"2015-08-21 01:48:59Z"	"87Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/87Npos.raw"
"89Cpos"	"FSN10115"	"2015-08-21 02:38:57Z"	"89Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/89Cpos.raw"
"89Npos"	"FSN10115"	"2015-08-21 02:22:08Z"	"89Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/89Npos.raw"
"8bCpos"	"FSN10352"	"2015-09-05 07:13:23Z"	"8bCpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/8bCpos.raw"
"8bNpos"	"FSN10352"	"2015-09-05 06:56:42Z"	"8bNpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/8bNpos.raw"
"92Cpos"	"FSN10115"	"2015-08-21 03:30:33Z"	"92Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/92Cpos.raw"
"92Npos"	"FSN10115"	"2015-08-21 03:12:31Z"	"92Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/92Npos.raw"
"93Cpos"	"FSN10115"	"2015-08-21 04:03:12Z"	"93Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/93Cpos.raw"
"93Npos"	"FSN10115"	"2015-08-21 03:46:38Z"	"93Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/93Npos.raw"
"97Cpos"	"FSN10115"	"2015-08-21 04:37:08Z"	"97Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/97Cpos.raw"
"97Npos"	"FSN10115"	"2015-08-21 04:21:03Z"	"97Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/97Npos.raw"
"9bCpos"	"FSN10352"	"2015-09-05 06:39:49Z"	"9bCpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/9bCpos.raw"
"9bNpos"	"FSN10352"	"2015-09-05 06:22:31Z"	"9bNpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/9bNpos.raw"
"uk001cposb"	"FSN10352"	"2015-08-22 19:34:51Z"	"uk001cposb.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/August 22 2015 runs/lung cancer vs normal tissue samples/uk001cposb.raw"
"uk001nposb"	"FSN10352"	"2015-08-22 19:17:46Z"	"uk001nposb.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/August 22 2015 runs/lung cancer vs normal tissue samples/uk001nposb.raw"
"uk003cposb"	"FSN10352"	"2015-08-22 20:08:15Z"	"uk003cposb.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/August 22 2015 runs/lung cancer vs normal tissue samples/uk003cposb.raw"
"UK003Nposrr"	"FSN10352"	"2015-09-21 20:45:46Z"	"UK003Nposrr.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 21 2015 runs/lc vs normal tissue pos/UK003Nposrr.raw"
"uk005cpos"	"FSN10352"	"2015-08-22 15:28:34Z"	"uk005cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/August 22 2015 runs/lung cancer vs normal tissue samples/uk005cpos.raw"
"uk005npos"	"FSN10352"	"2015-08-22 15:11:21Z"	"uk005npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/August 22 2015 runs/lung cancer vs normal tissue samples/uk005npos.raw"
"uk006cpos"	"FSN10352"	"2015-08-22 16:03:04Z"	"uk006cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/August 22 2015 runs/lung cancer vs normal tissue samples/uk006cpos.raw"
"uk006npos"	"FSN10352"	"2015-08-22 15:46:03Z"	"uk006npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/August 22 2015 runs/lung cancer vs normal tissue samples/uk006npos.raw"
